V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
0,44395;0,32175;0,2834;0,30241;0,3513;0,4371;0,40967;0,26402;0,22722;0,67548;0,73675;0,28682;0,31082;0,40301;0,42777;0,46448;0,4608;0,47978;0,49541;0
0,42882;0,38517;0,3218;0,27321;0,3024;0,34814;0,4371;0,1688;0,26402;0,66302;0,67548;0,30893;0,28682;0,34816;0,40301;0,46642;0,46448;0,46617;0,47978;0
0,4346;0,25136;0,3852;0,22528;0,2732;0,445;0,34814;0,34156;0,1688;0,60123;0,66302;0,23293;0,30893;0,43696;0,34816;0,46905;0,46642;0,45018;0,46617;0
0,43128;0,13593;0,2514;0,21936;0,2253;0,50543;0,445;0,44935;0,34156;0,54644;0,60123;0,17641;0,23293;0,50766;0,43696;0,46946;0,46905;0,43952;0,45018;0
0,40642;0,1541;0,1359;0,24816;0,2194;0,47849;0,50543;0,41664;0,44935;0,46631;0,54644;0,10845;0,17641;0,49913;0,50766;0,46723;0,46946;0,42901;0,43952;0
0,4127;0,13747;0,1541;0,26874;0,2482;0,53684;0,47849;0,50545;0,41664;0,50759;0,46631;0,16729;0,10845;0,51232;0,49913;0,46425;0,46723;0,42276;0,42901;1
0,42673;0,13493;0,1375;0,27776;0,2687;0,55937;0,53684;0,46048;0,50545;0,53742;0,50759;0,19224;0,16729;0,54054;0,51232;0,46285;0,46425;0,42235;0,42276;1
0,49034;0,37771;0,1349;0,28161;0,2778;0,74212;0,55937;0,53375;0,46048;0,57031;0,53742;0,21259;0,19224;0,72747;0,54054;0,46478;0,46285;0,43349;0,42235;1
0,52885;0,61407;0,3777;0,30185;0,2816;0,91575;0,74212;0,65426;0,53375;0,696;0,57031;0,32814;0,21259;0,92664;0,72747;0,4664;0,46478;0,45301;0,43349;1
0,55679;0,71449;0,6141;0,34818;0,3018;0,9748;0,91575;0,65427;0,65426;0,7447;0,696;0,37772;0,32814;1;0,92664;0,47109;0,4664;0,48308;0,45301;1
0,57401;0,66981;0,7145;0,40027;0,3482;0,98313;0,9748;0,64561;0,65427;0,73824;0,7447;0,34953;0,37772;0,96831;1;0,47665;0,47109;0,51534;0,48308;1
0,58361;0,42848;0,6698;0,45097;0,4003;0,83441;0,98313;0,44677;0,64561;0,77697;0,73824;0,37796;0,34953;0,82839;0,96831;0,48164;0,47665;0,54672;0,51534;1
0,59395;0,2881;0,4285;0,50016;0,451;0,75731;0,83441;0,29775;0,44677;0,8097;0,77697;0,41782;0,37796;0,74757;0,82839;0,48778;0,48164;0,56744;0,54672;1
0,56011;0,17444;0,2881;0,51639;0,5002;0,58985;0,75731;0,16372;0,29775;0,67897;0,8097;0,2618;0,41782;0,60644;0,74757;0,49265;0,48778;0,57369;0,56744;1
0,59259;0,15657;0,1744;0,55187;0,5164;0,63106;0,58985;0,18325;0,16372;0,7034;0,67897;0,28649;0,2618;0,59246;0,60644;0,49709;0,49265;0,58085;0,57369;0
0,55408;0,20844;0,1566;0,56114;0,5519;0,50113;0,63106;0,19359;0,18325;0,68052;0,7034;0,3273;0,28649;0,51232;0,59246;0,49869;0,49709;0,57687;0,58085;0
0,54251;0,26297;0,2084;0,56758;0,5611;0,4421;0,50113;0,20394;0,19359;0,62952;0,68052;0,27354;0,3273;0,45986;0,51232;0,50097;0,49869;0,56865;0,57687;0
0,53956;0,23812;0,263;0,57206;0,5676;0,52529;0,4421;0,35311;0,20394;0,67675;0,62952;0,3748;0,27354;0,47903;0,45986;0,50222;0,50097;0,55777;0,56865;0
0,52393;0,29169;0,2381;0,57234;0,5721;0,39561;0,52529;0,25099;0,35311;0,69432;0,67675;0,41245;0,3748;0,41339;0,47903;0,50419;0,50222;0,55054;0,55777;0
0,52504;0,14031;0,2917;0,5659;0,5723;0,50229;0,39561;0,39245;0,25099;0,72258;0,69432;0,48061;0,41245;0,49474;0,41339;0,50749;0,50419;0,53702;0,55054;0
0,55014;0,12578;0,1403;0,55595;0,5659;0,60152;0,50229;0,48756;0,39245;0,79307;0,72258;0,54389;0,48061;0,57848;0,49474;0,5128;0,50749;0,53624;0,53702;0
0,51803;0,14592;0,1258;0,52854;0,556;0,52254;0,60152;0,39011;0,48756;0,72677;0,79307;0,54069;0,54389;0,55945;0,57848;0,51726;0,5128;0,53134;0,53624;0
0,51667;0,15052;0,1459;0,50071;0,5285;0,56118;0,52254;0,49138;0,39011;0,73024;0,72677;0,58558;0,54069;0,55439;0,55945;0,52137;0,51726;0,52676;0,53134;0
0,53784;0,15836;0,1505;0,46603;0,5007;0,61556;0,56118;0,45971;0,49138;0,81109;0,73024;0,70984;0,58558;0,56917;0,55439;0,52669;0,52137;0,52954;0,52676;0
0,51052;0,18617;0,1584;0,39839;0,466;0,47363;0,61556;0,31523;0,45971;0,7522;0,81109;0,63248;0,70984;0,51338;0,56917;0,5319;0,52669;0,52664;0,52954;0
0,5104;0,12401;0,1862;0,32074;0,3984;0,56017;0,47363;0,41432;0,31523;0,72728;0,7522;0,59027;0,63248;0,55452;0,51338;0,53678;0,5319;0,51869;0,52664;0
0,49686;0,16637;0,124;0,24748;0,3207;0,52711;0,56017;0,37135;0,41432;0,59236;0,72728;0,46159;0,59027;0,50513;0,55452;0,54029;0,53678;0,51446;0,51869;0
0,44678;0,37959;0,1664;0,29146;0,2475;0,3342;0,52711;0,22347;0,37135;0,43861;0,59236;0,24869;0,46159;0,36586;0,50513;0,53811;0,54029;0,50048;0,51446;0
0,47238;0,31077;0,3796;0,31747;0,2915;0,47732;0,3342;0,39398;0,22347;0,43485;0,43861;0,20923;0,24869;0,42631;0,36586;0,53529;0,53811;0,48739;0,50048;0
0,46179;0,29167;0,3108;0,34398;0,3175;0,44893;0,47732;0,32513;0,39398;0,38694;0,43485;0,17766;0,20923;0,44601;0,42631;0,53054;0,53529;0,47764;0,48739;0
0,4458;0,23704;0,2917;0,36859;0,344;0,44211;0,44893;0,3408;0,32513;0,34285;0,38694;0,11522;0,17766;0,48342;0,44601;0,52413;0,53054;0,46472;0,47764;0
0,45109;0,12495;0,237;0,37346;0,3686;0,59261;0,44211;0,5475;0,3408;0,33432;0,34285;0,0844;0,11522;0,55825;0,48342;0,5175;0,52413;0,45557;0,46472;0
0,44777;0,12284;0,1249;0,36252;0,3735;0,51387;0,59261;0,4137;0,5475;0,38653;0,33432;0,22184;0,0844;0,51285;0,55825;0,51019;0,5175;0,45576;0,45557;0
0,46278;0,08598;0,1228;0,35862;0,3625;0,58354;0,51387;0,47264;0,4137;0,35682;0,38653;0,18085;0,22184;0,58195;0,51285;0,50533;0,51019;0,45385;0,45576;0
0,48431;0,17779;0,086;0,31347;0,3586;0,6859;0,58354;0,53826;0,47264;0,46018;0,35682;0,2768;0,18085;0,67368;0,58195;0,49991;0,50533;0,45835;0,45385;0
0,49059;0,2169;0,1778;0,29397;0,3135;0,68854;0,6859;0,44918;0,53826;0,491;0,46018;0,33893;0,2768;0,7027;0,67368;0,49674;0,49991;0,46731;0,45835;0
0,47644;0,19271;0,2169;0,28118;0,294;0,65904;0,68854;0,47882;0,44918;0,47157;0,491;0,28833;0,33893;0,66982;0,7027;0,49344;0,49674;0,47238;0,46731;0
0,46081;0,14478;0,1927;0,27159;0,2812;0,5755;0,65904;0,38694;0,47882;0,47145;0,47157;0,27497;0,28833;0,5649;0,66982;0,4895;0,49344;0,47498;0,47238;0
0,44088;0,22452;0,1448;0,27745;0,2716;0,46273;0,5755;0,25853;0,38694;0,43494;0,47145;0,2259;0,27497;0,45147;0,5649;0,48535;0,4895;0,4706;0,47498;0
