V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21
0,79955;0,13447;0,1957;0,91030;0,9491;0,38425;0,49119;0,44326;0,60517;0,82083;0,82610;0,92598;0,91051;0,42040;0,54646;0,73827;0,72655;0,82502;0,82036;1;0
0,79507;0,16093;0,1345;0,84400;0,9103;0,31600;0,38425;0,37016;0,44326;0,83044;0,82083;0,91585;0,92598;0,34503;0,42040;0,75087;0,73827;0,82197;0,82502;1;0
0,75830;0,22910;0,1609;0,74823;0,8440;0,24614;0,31600;0,26116;0,37016;0,78491;0,83044;0,90124;0,91585;0,30052;0,34503;0,76217;0,75087;0,80484;0,82197;1;0
0,64888;0,49707;0,2291;0,65434;0,7482;0,08781;0,24614;0,17438;0,26116;0,59779;0,78491;0,77266;0,90124;0,16439;0,30052;0,76834;0,76217;0,76538;0,80484;1;0
0,58789;0,68542;0,4971;0,60743;0,6543;0,02415;0,08781;0,20583;0,17438;0,40128;0,59779;0,55795;0,77266;0,03704;0,16439;0,77076;0,76834;0,71794;0,76538;1;0
0,56996;0,72992;0,6854;0,64018;0,6074;0,00000;0,02415;0,23805;0,20583;0,38226;0,40128;0,57159;0,55795;0,00000;0,03704;0,76886;0,77076;0,67202;0,71794;1;1
0,56996;0,57778;0,7299;0,66729;0,6402;0,06567;0,00000;0,33761;0,23805;0,00000;0,38226;0,00000;0,57159;0,11956;0,00000;0,76722;0,76886;0,62700;0,67202;1;1
0,57220;0,23410;0,5778;0,72336;0,6673;0,26568;0,06567;0,60153;0,33761;0,09555;0,00000;0,13093;0,00000;0,32554;0,11956;0,75300;0,76722;0,58978;0,62700;1;1
0,55291;0,07488;0,2341;0,79371;0,7234;0,34058;0,26568;0,70384;0,60153;0,01868;0,09555;0,02828;0,13093;0,40058;0,32554;0,74090;0,75300;0,57058;0,58978;1;1
0,56502;0,04060;0,0749;0,83129;0,7937;0,39466;0,34058;0,76163;0,70384;0,05779;0,01868;0,06480;0,02828;0,43015;0,40058;0,72780;0,74090;0,56601;0,57058;1;1
0,60987;0,14156;0,0406;0,83965;0,8313;0,47541;0,39466;0,77253;0,76163;0,10052;0,05779;0,07151;0,06480;0,50227;0,43015;0,71765;0,72780;0,57399;0,56601;1;1
0,59103;0,14939;0,1416;0,84083;0,8396;0,43745;0,47541;0,59679;0,77253;0,11589;0,10052;0,09937;0,07151;0,51819;0,50227;0,70572;0,71765;0,57821;0,57399;1;1
0,59686;0,15706;0,1494;0,84228;0,8408;0,48270;0,43745;0,57489;0,59679;0,10043;0,11589;0,04330;0,09937;0,53216;0,51819;0,69554;0,70572;0,58314;0,57821;1;1
0,60807;0,11691;0,1571;0,82553;0,8423;0,48107;0,48270;0,53389;0,57489;0,18003;0,10043;0,15797;0,04330;0,50260;0,53216;0,68511;0,69554;0,59417;0,58314;1;1
0,61390;0,05407;0,1169;0,81760;0,8255;0,41080;0,48107;0,42299;0,53389;0,18681;0,18003;0,17105;0,15797;0,46784;0,50260;0,67706;0,68511;0,60395;0,59417;1;1
0,62780;0,09024;0,0541;0,80165;0,8176;0,46973;0,41080;0,49411;0,42299;0,15653;0,18681;0,11001;0,17105;0,51527;0,46784;0,66964;0,67706;0,60753;0,60395;1;1
0,62915;0,08393;0,0902;0,76335;0,8016;0,46165;0,46973;0,45496;0,49411;0,10805;0,15653;0,05158;0,11001;0,51072;0,51527;0,66058;0,66964;0,61516;0,60753;1;1
0,63857;0,07431;0,0839;0,69040;0,7634;0,45841;0,46165;0,45378;0,45496;0,11888;0,10805;0,00646;0,05158;0,50487;0,51072;0,65031;0,66058;0,62350;0,61516;1;1
0,66592;0,12650;0,0743;0,59867;0,6904;0,49713;0,45841;0,53382;0,45378;0,19178;0,11888;0,05135;0,00646;0,53281;0,50487;0,64130;0,65031;0,63507;0,62350;1;1
0,66592;0,12470;0,1265;0,50755;0,5987;0,47210;0,49713;0,47215;0,53382;0,23022;0,19178;0,08372;0,05135;0,53151;0,53281;0,63334;0,64130;0,64547;0,63507;1;1
0,61390;0,15314;0,1247;0,41795;0,5075;0,37612;0,47210;0,40762;0,47215;0,15848;0,23022;0,02348;0,08372;0,44737;0,53151;0,62406;0,63334;0,64269;0,64547;1;1
0,64305;0,14394;0,1531;0,30307;0,4179;0,41160;0,37612;0,43605;0,40762;0,25782;0,15848;0,13062;0,02348;0,41845;0,44737;0,61646;0,62406;0,64547;0,64269;1;1
0,66188;0,14869;0,1439;0,20979;0,3031;0,39629;0,41160;0,39641;0,43605;0,45152;0,25782;0,41279;0,13062;0,42723;0,41845;0,61164;0,61646;0,65013;0,64547;1;1
0,68296;0,17801;0,1487;0,23042;0,2098;0,43417;0,39629;0,44257;0,39641;0,57588;0,45152;0,65169;0,41279;0,50910;0,42723;0,61334;0,61164;0,65354;0,65013;1;1
0,68386;0,20132;0,1780;0,25087;0,2304;0,52940;0,43417;0,58304;0,44257;0,60448;0,57588;0,68723;0,65169;0,57992;0,50910;0,61814;0,61334;0,65713;0,65354;1;1
0,70628;0,16114;0,2013;0,27324;0,2509;0,51723;0,52940;0,54800;0,58304;0,63847;0,60448;1,00000;0,68723;0,55718;0,57992;0,62496;0,61814;0,67561;0,65713;1;1
0,72152;0,15394;0,1611;0,29710;0,2732;0,51074;0,51723;0,55449;0,54800;0,65817;0,63847;0,94262;1,00000;0,55296;0,55718;0,63253;0,62496;0,69130;0,67561;1;1
0,65605;0,16821;0,1539;0,28135;0,2971;0,35520;0,51074;0,41242;0,55449;0,58822;0,65817;0,94824;0,94262;0,43795;0,55296;0,63673;0,63253;0,69013;0,69130;1;1
0,65785;0,19790;0,1682;0,24623;0,2814;0,35681;0,35520;0,34381;0,41242;0,57255;0,58822;0,90700;0,94824;0,37557;0,43795;0,64197;0,63673;0,68511;0,69013;1;1
0,67713;0,19959;0,1979;0,21729;0,2462;0,35120;0,35681;0,34860;0,34381;0,53371;0,57255;0,84574;0,90700;0,36127;0,37557;0,64758;0,64197;0,68377;0,68511;0;0
0,68744;0,18090;0,1996;0,21652;0,2173;0,34236;0,35120;0,34687;0,34860;0,57791;0,53371;0,86724;0,84574;0,41553;0,36127;0,65146;0,64758;0,68000;0,68377;0;0
0,69417;0,11022;0,1809;0,20266;0,2165;0,47206;0,34236;0,55630;0,34687;0,57925;0,57791;0,87988;0,86724;0,52632;0,41553;0,65661;0,65146;0,67453;0,68000;0;0
0,68072;0,08475;0,1102;0,18174;0,2027;0,44465;0,47206;0,53497;0,55630;0,54187;0,57925;0,79205;0,87988;0,49513;0,52632;0,66081;0,65661;0,67946;0,67453;0;0
0,67489;0,04155;0,0847;0,16272;0,1817;0,39951;0,44465;0,50592;0,53497;0,52420;0,54187;0,77375;0,79205;0,44152;0,49513;0,66415;0,66081;0,68287;0,67946;0;0
0,64709;0,11746;0,0415;0,14599;0,1627;0,33104;0,39951;0,46209;0,50592;0,46103;0,52420;0,74925;0,77375;0,37719;0,44152;0,66581;0,66415;0,67686;0,68287;0;0
0,64260;0,14774;0,1175;0,13891;0,1460;0,31091;0,33104;0,35212;0,46209;0,45221;0,46103;0,77908;0,74925;0,35055;0,37719;0,66655;0,66581;0,66789;0,67686;0;0
0,64888;0,11333;0,1477;0,13005;0,1389;0,34633;0,31091;0,39822;0,35212;0,44745;0,45221;0,76738;0,77908;0,38012;0,35055;0,66753;0,66655;0,65883;0,66789;0;0
0,65740;0,07757;0,1133;0,12377;0,1300;0,37211;0,34633;0,45028;0,39822;0,41895;0,44745;0,69135;0,76738;0,42560;0,38012;0,66848;0,66753;0,65417;0,65883;0;0
0,68072;0,09540;0,0776;0,12489;0,1238;0,46401;0,37211;0,56817;0,45028;0,45423;0,41895;0,68889;0,69135;0,50910;0,42560;0,66922;0,66848;0,65534;0,65417;0;0
